,brand,categories,colors,name,sizes,prices
7176,Brinley Co.,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black,Brinley Co. Womens Fringe Tassle Faux Suede High Heels,9,27.5
7177,miz-mooz,"Clothing,Shoes,Womens Shoes,All Womens Shoes",BLACK,miz mooz ness women's combat boot,36,99.99
7178,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",9,197.72
7179,Brinley Co.,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black,Brinley Co. Womens Fringe Tassle Faux Suede High Heels,8,27.5
7180,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",8,127.0
7181,Brooks,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black/Black,Brooks Adrenaline GTS 18 Road Running Shoes - Womens,7,120.0
7182,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",BONE,"Women's SAS, Siesta Lace up Shoe",7,128.95
7183,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",10,127.0
7184,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",6,127.0
7185,Brinley Co.,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black,Brinley Co. Womens Fringe Tassle Faux Suede High Heels,11,27.5
7186,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",8,127.0
7187,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",10,127.0
7188,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",6,127.0
7189,SAS,Sandals,BONE,"Women's SAS, Sunburst Sandal",7,126.95
7190,SAS,Sandals,WHITE,"Women's SAS, Sunburst Sandal",6,126.95
7191,Mizuno,"Womens Shoes,Clothing,All Womens Shoes,Shoes",BLUE TOPAZ-FIERY CORAL 5M1Z,mizuno women's wave shadow running shoe,11,65.0
7192,SAS,Sandals,BONE,"Women's SAS, Sunburst Sandal",7,126.95
7193,Mizuno,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Dazzling Blue/White,"Mizuno Women's Wave Shadow Running Shoe, Dazzling Blue/White, 9.5 B US",9,65.0
7194,Not Just A Pump,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black Patent,"Moment by Not Just A Pump, Pointe Toe Wrap Around Dress Pump - Women Open Heel Shoes",6,28.97
7195,SAS,Sandals,BONE,"Women's SAS, Sunburst Sandal",6,126.95
7196,The Highest Heel,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Fuchsia Bottom,MAGNUM-121-D 7 1/2'' Gun Heel With Diamond Drilled Bottom and Two Piece,11,87.9
7197,SAS,Sports Shoes,White,SAS Womens Me Too Leather Low Top Walking Shoes,9,90.99
7198,SAS,Sports Shoes,White,SAS Womens Me Too Leather Low Top Walking Shoes,9,246.79
7199,The Highest Heel,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black Patent Pu,"IGNITE-11, 6'' Highest Heel Shoes",11,45.09
